종목코드,종목명,대분류,중분류,소분류
101970,우양에이치씨,제조,금속,"구조용 금속제품, 탱크 및 증기발생기"
102120,어보브반도체,제조,전기·전자,반도체
102260,동성케미컬,제조,화학,화학
102370,케이옥션,유통,유통,상품 중개
102460,이연제약,제조,제약,제약
102710,이엔에프테크놀로지,제조,화학,디스플레이
102940,코오롱생명과학,제조,제약,바이오
103140,풍산,제조,금속,비철금속
103230,에스앤더블류,제조,기계·장비,일반 목적용 기계
103590,일진전기,제조,전기·전자,절연선 및 케이블
103840,우양,제조,음식료·담배,"과실, 채소 가공 및 저장 처리"
104040,대성파인텍,제조,운송장비·부품,자동차부품
104200,NHN벅스,서비스,IT서비스,소프트웨어
104460,디와이피엔에프,제조,기계·장비,일반 목적용 기계
104480,티케이케미칼,제조,화학,화학섬유
104540,코렌텍,제조,의료·정밀기기,의료기기
104620,노랑풍선,일반서비스,서비스,여행
104700,한국철강,제조,금속,철강
104830,원익머트리얼즈,제조,화학,화학
105330,케이엔더블유,제조,운송장비·부품,자동차부품
105550,엣지파운드리,제조,전기·전자,전자부품
105560,KB금융,금융,금융,은행
105630,한세실업,제조,섬유·의류,섬유/의류
105740,디케이락,제조,기계·장비,일반 목적용 기계
105760,포스뱅크,제조,기계·장비,일반 목적용 기계
105840,우진,제조,의료·정밀기기,"측정, 시험, 항해, 제어 및 기타 정밀기기; 광학기기 제외"
106080,케이이엠텍,제조,전기·전자,전자부품
106190,하이텍팜,제조,제약,제약
106240,파인테크닉스,제조,전기·전자,전구 및 조명장치
106520,노블엠앤비,제조,의료·정밀기기,사진장비 및 광학기기
107590,미원홀딩스,금융,금융,기타 금융
107600,새빗켐,제조,화학,기타 화학제품
107640,한중엔시에스,제조,전기·전자,이차전지
108230,톱텍,제조,기계·장비,디스플레이
108320,LX세미콘,제조,전기·전자,반도체
108380,대양전기공업,제조,운송장비·부품,조선
108490,로보티즈,제조,기계·장비,특수 목적용 기계
108670,LX하우시스,제조,화학,건설
108860,셀바스AI,서비스,IT서비스,소프트웨어
109070,주성코퍼레이션,제조,전기·전자,통신장비
109080,옵티시스,제조,전기·전자,통신장비
109610,에스와이,제조,금속,"구조용 금속제품, 탱크 및 증기발생기"
109670,씨싸이트,제조,섬유·의류,섬유/의류
109740,디에스케이,제조,기계·장비,이차전지
109820,진매트릭스,일반서비스,건강관리,바이오
109860,동일금속,제조,금속,금속 주조
109960,앱토크롬,유통,건강관리,제약
110020,전진바이오팜,제조,화학,기타 화학제품
110790,크리스에프앤씨,제조,섬유·의류,섬유/의류
110990,디아이티,제조,기계·장비,디스플레이
111110,호전실업,제조,섬유·의류,섬유/의류
111380,동인기연,제조,섬유·의류,"가죽, 가방 및 유사제품"
111710,남화산업,오락·문화,오락·문화,스포츠 서비스
111770,영원무역,유통,유통,상품 종합 도매
112040,위메이드,서비스,IT서비스,소프트웨어
112290,와이씨켐,제조,화학,디스플레이
112610,씨에스윈드,제조,금속,조선
113810,디젠스,제조,운송장비·부품,자동차부품
114090,GKL,오락·문화,서비스,레저
114190,강원에너지,제조,전기·전자,기타 전기장비
114450,그린생명과학,제조,제약,제약
114630,폴라리스우노,제조,화학,화학섬유
114810,한솔아이원스,제조,기계·장비,디스플레이
114840,아이패밀리에스씨,제조,화학,화장품
115160,휴맥스,제조,전기·전자,가전/전자제품
115180,큐리언트,일반서비스,건강관리,바이오
115310,인포바인,기타,기타,전기 통신
115440,우리넷,제조,전기·전자,통신장비
115450,HLB테라퓨틱스,유통,유통,기타 전문 도매
115480,씨유메디칼,제조,의료·정밀기기,의료기기
115500,케이씨에스,서비스,IT서비스,소프트웨어
115530,씨엔플러스,제조,전기·전자,전자부품
115570,스타플렉스,제조,화학,플라스틱제품
115610,이미지스,제조,전기·전자,반도체
117580,대성에너지,전기·가스,전기·가스,가스
117670,알파칩스,제조,전기·전자,반도체
117730,티로보틱스,제조,기계·장비,특수 목적용 기계
118000,메타케어,유통,건강관리,제약
118990,모트렉스,제조,운송장비·부품,자동차부품
119500,포메탈,제조,금속,금속가공
119610,인터로조,제조,의료·정밀기기,의료기기
119650,KC코트렐,제조,기계·장비,일반 목적용 기계
119830,아이텍,일반서비스,전기·전자,반도체
119850,지엔씨에너지,제조,전기·전자,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치"
120030,조선선재,제조,금속,금속가공
120110,코오롱인더,제조,화학,에너지/화학
120240,대정화금,제조,화학,화학
121440,골프존홀딩스,유통,유통,상품 중개
121600,나노신소재,제조,화학,반도체
121800,비덴트,제조,전기·전자,디스플레이
121850,코이즈,제조,화학,플라스틱제품
121890,에스디시스템,제조,전기·전자,전자부품
122310,제노레이,제조,의료·정밀기기,의료기기
122350,삼기,제조,운송장비·부품,자동차부품
122450,KX,오락·문화,미디어/엔터,미디어/콘텐츠
122640,예스티,제조,기계·장비,디스플레이
122690,서진오토모티브,제조,운송장비·부품,자동차부품
122870,와이지엔터테인먼트,오락·문화,오락·문화,오디오물 출판 및 원판 녹음
122900,아이마켓코리아,유통,유통,상품 종합 도매
122990,와이솔,제조,전기·전자,전자부품
123010,알엔티엑스,제조,전기·전자,전자부품
123040,엠에스오토텍,제조,운송장비·부품,자동차부품
